Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Unemployment_rate,Inflation_rate,GDP,Status
4,2,5,1,0,15,28,13,9,22,17,26,127.3,1,0,0,1,1,0,20,0,2,0,0.0,7.3999999999999995,2,0,0,6.874999999999999,10.8,1.4,1.74,0
4,9,1,15,0,15,78,13,24,16,6,8,142.5,1,0,0,0,1,0,19,0,6,6,6.0,14.0,6,6,6,13.666666666666666,13.9,-0.3,0.79,1
4,0,5,4,0,15,28,13,10,10,24,26,124.8,1,0,0,0,1,0,19,0,6,0,0.0,7.3999999999999995,6,0,0,6.874999999999999,10.8,1.4,1.74,0
4,2,2,7,0,15,28,13,8,10,17,8,119.6,1,0,0,1,0,0,20,0,6,8,6.0,13.428571428571429,6,10,5,12.4,9.4,-0.8,-3.12,1
3,13,1,14,1,15,4,13,10,8,24,26,141.5,0,0,0,1,0,0,34,0,6,9,5.0,12.333333333333334,6,6,6,13.0,13.9,-0.3,0.79,1
3,13,1,9,1,6,43,13,10,10,24,21,114.8,0,0,1,1,1,0,34,0,5,10,5.0,11.857142857142858,5,16,5,11.5,16.2,0.3,-0.92,1
4,0,1,11,0,15,57,13,9,8,19,2,128.4,1,0,0,1,0,1,18,0,7,9,7.0,13.3,8,8,8,14.345,15.5,2.8,-4.06,1
4,3,4,15,0,15,24,13,10,10,24,26,113.1,1,0,0,0,1,0,22,0,5,5,0.0,7.3999999999999995,5,5,0,6.874999999999999,15.5,2.8,-4.06,0
4,0,3,13,0,15,48,14,24,24,24,26,129.3,0,0,0,1,0,1,21,1,6,8,6.0,13.875,6,7,6,14.142857142857142,16.2,0.3,-0.92,1
4,0,1,13,0,15,49,13,24,9,0,21,123.0,1,0,1,0,0,0,18,0,6,9,5.0,11.4,6,14,2,13.5,8.9,1.4,3.51,0
4,0,1,10,0,15,52,13,8,9,17,21,130.6,1,0,0,1,0,0,18,0,6,6,6.0,12.333333333333334,6,7,5,14.2,13.9,-0.3,0.79,1
4,0,1,11,0,15,47,13,9,8,24,26,119.3,1,0,0,1,0,1,18,0,8,8,7.0,13.214285714285714,8,8,7,13.214285714285714,12.7,3.7,-1.7,1
